menu,voce,descrizione,col,user,profile,right,status,http,count,note,endpoint,params
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,RP,eragusa,Responsabile Produzione,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,HR,agarilli,Risorse Umane,T,OK,200,100,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Analisi Mensile OU Risorse,Analisi OU risorse su base mensile,ROU,ascuderi,Responsabile OU,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOu"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,Sup,Stefano,Supervisore,T,OK,200,27,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Supervisore""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,RC,lamico,Responsabile Commerciale,T,OK,200,27,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,7,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,RP,eragusa,Responsabile Produzione,T,OK,200,27,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile Produzione""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Project Manager""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""General Project Manager""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,HR,agarilli,Risorse Umane,T,OK,200,27,OK,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Risorse Umane""}"
Analisi Risorse,Analisi Mensile OU Risorse Pivot,Pivot mensile OU risorse,ROU,ascuderi,Responsabile OU,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/commesse/risorse/valutazione,"{""mensile"": ""true"", ""analisiOuPivot"": ""true"", ""anni"": ""2026"", ""take"": ""100"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,Sup,Stefano,Supervisore,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,RC,lamico,Responsabile Commerciale,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,,OK,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,RP,eragusa,Responsabile Produzione,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Proiezione Mensile RCC,Proiezione mensile per RCC su budget/risultato,ROU,ascuderi,Responsabile OU,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile,"{""anno"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,Sup,Stefano,Supervisore,T,OK,200,9,OK,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,RC,lamico,Responsabile Commerciale,T,OK,200,9,OK,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,1,OK,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,RP,eragusa,Responsabile Produzione,T,OK,200,9,OK,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Report Annuale RCC,Report annuale per RCC con KPI fatturato e budget,ROU,ascuderi,Responsabile OU,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,Sup,Stefano,Supervisore,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,RC,lamico,Responsabile Commerciale,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,RCC,aaltana,Responsabile Commerciale Commessa,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,RP,eragusa,Responsabile Produzione,T,OK,200,,OK,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Proiezione Mensile BU,Proiezione mensile per Business Unit,ROU,ascuderi,Responsabile OU,P,OK,200,,OK,/api/analisi-rcc/risultato-mensile-bu,"{""anno"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,Sup,Stefano,Supervisore,T,OK,200,12,OK,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,RC,lamico,Responsabile Commerciale,T,OK,200,12,OK,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,RCC,aaltana,Responsabile Commerciale Commessa,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,RP,eragusa,Responsabile Produzione,T,OK,200,12,OK,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Report Annuale BU,Report annuale per Business Unit,ROU,ascuderi,Responsabile OU,P,OK,200,1,OK,/api/analisi-rcc/pivot-fatturato-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,Sup,Stefano,Supervisore,T,OK,200,12,OK,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,RC,lamico,Responsabile Commerciale,T,OK,200,12,OK,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,5,OK,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,RP,eragusa,Responsabile Produzione,T,OK,200,12,OK,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Proiezione Mensile RCC-BU,Proiezione mensile integrata RCC-BU,ROU,ascuderi,Responsabile OU,P,OK,200,1,OK,/api/analisi-rcc/risultato-mensile-burcc,"{""anno"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,Sup,Stefano,Supervisore,T,OK,200,41,OK,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,RC,lamico,Responsabile Commerciale,T,OK,200,41,OK,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,5,OK,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,RP,eragusa,Responsabile Produzione,T,OK,200,41,OK,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Report Annuale RCC-BU,Report annuale integrato RCC-BU,ROU,ascuderi,Responsabile OU,P,OK,200,2,OK,/api/analisi-rcc/pivot-fatturato-burcc,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,Sup,Stefano,Supervisore,T,OK,200,10,OK,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,RC,lamico,Responsabile Commerciale,T,OK,200,10,OK,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,2,OK,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,RP,eragusa,Responsabile Produzione,T,OK,200,10,OK,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Piano Fatturazione,Piano mensile/trimestrale e progressivo budget,ROU,ascuderi,Responsabile OU,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/piano-fatturazione,"{""anno"": ""2026"", ""mesiSnapshot"": ""4"", ""profile"": ""Responsabile OU""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,Sup,Stefano,Supervisore,T,OK,200,1030,OK,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Supervisore""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,RC,lamico,Responsabile Commerciale,T,OK,200,1030,OK,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Commerciale""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,126,OK,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Commerciale Commessa""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,RP,eragusa,Responsabile Produzione,T,OK,200,1030,OK,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Produzione""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,PM,rguarnaccia,Project Manager,P,WARN,200,0,Ricerca eseguita ma 0 risultati,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Project Manager""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""General Project Manager""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Risorse Umane""}"
Analisi Proiezioni,Dettaglio Fatturato,Dettaglio analitico movimenti fatturato/futuro/ipotetico,ROU,ascuderi,Responsabile OU,P,OK,200,60,OK,/api/analisi-rcc/dettaglio-fatturato,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile OU""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,Sup,Stefano,Supervisore,T,OK,200,413,OK,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Supervisore""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,RC,lamico,Responsabile Commerciale,T,OK,200,413,OK,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Commerciale""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,39,OK,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Commerciale Commessa""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,RP,eragusa,Responsabile Produzione,T,OK,200,413,OK,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Produzione""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Project Manager""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""General Project Manager""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Risorse Umane""}"
Previsioni,Funnel,Elenco opportunita e ordini con filtri di stato/tipo,ROU,ascuderi,Responsabile OU,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/funnel,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile OU""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,Sup,Stefano,Supervisore,T,OK,200,47,OK,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,RC,lamico,Responsabile Commerciale,T,OK,200,47,OK,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,RCC,aaltana,Responsabile Commerciale Commessa,P,OK,200,4,OK,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,RP,eragusa,Responsabile Produzione,T,OK,200,47,OK,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Previsioni,Report Funnel RCC,Pivot funnel aggregata per RCC,ROU,ascuderi,Responsabile OU,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,Sup,Stefano,Supervisore,T,OK,200,59,OK,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Supervisore""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,RC,lamico,Responsabile Commerciale,T,OK,200,59,OK,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,RCC,aaltana,Responsabile Commerciale Commessa,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Commerciale Commessa""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,RP,eragusa,Responsabile Produzione,T,OK,200,59,OK,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile Produzione""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,PM,rguarnaccia,Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Project Manager""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,GPM,ccampione,General Project Manager,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""General Project Manager""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,HR,agarilli,Risorse Umane,-,OK,403,,Accesso negato come atteso,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Risorse Umane""}"
Previsioni,Report Funnel BU,Pivot funnel aggregata per BU,ROU,ascuderi,Responsabile OU,P,OK,200,3,OK,/api/analisi-rcc/pivot-funnel-bu,"{""anni"": ""2026"", ""profile"": ""Responsabile OU""}"
Processo Offerta,Offerte,Dettaglio offerte con stato documento ed esito,Sup,Stefano,Supervisore,T,OK,200,241,OK,/api/processo-offerta/offerte,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Supervisore""}"
Processo Offerta,Offerte,Dettaglio offerte con stato documento ed esito,RC,lamico,Responsabile Commerciale,T,OK,200,241,OK,/api/processo-offerta/offerte,"{""anni"": ""2026"", ""take"": ""200"", ""profile"": ""Responsabile Commerciale""}"
